Event Start,Event End,Type
2022-12-01 07:00,2022-12-01 09:00,Both
2022-12-05 18:00,2022-12-05 21:00,Both
2022-12-07 07:00,2022-12-07 10:00,Both
2022-12-09 18:00,2022-12-09 21:00,Both
2022-12-13 07:00,2022-12-13 09:00,Both
2022-12-15 19:00,2022-12-15 21:00,Both
2022-12-19 07:00,2022-12-19 09:00,Both
2022-12-21 19:00,2022-12-21 21:00,Both
2022-12-23 08:00,2022-12-23 10:00,Both
2022-12-27 19:00,2022-12-27 21:00,Both
2022-12-29 07:00,2022-12-29 09:00,Both
2023-01-09 08:00,2023-01-09 10:00,Both
2023-01-11 19:00,2023-01-11 21:00,Both
2023-01-13 07:00,2023-01-13 09:00,Both
2023-01-17 19:00,2023-01-17 21:00,Both
2023-01-19 07:00,2023-01-19 09:00,Both
2023-01-23 19:00,2023-01-23 21:00,Both
2023-01-25 08:00,2023-01-25 10:00,Both
2023-01-27 19:00,2023-01-27 21:00,Both
2023-01-31 07:00,2023-01-31 09:00,Both
2023-02-02 08:00,2023-02-02 10:00,Both
2023-02-06 07:00,2023-02-06 09:00,Both
2023-02-07 07:00,2023-02-07 09:00,Both
2023-02-07 19:00,2023-02-07 21:00,Both
2023-02-09 07:00,2023-02-09 09:00,Both
2023-02-13 07:00,2023-02-13 10:00,Both
2023-02-15 07:00,2023-02-15 10:00,Both
2023-02-16 07:00,2023-02-16 09:00,Both
2023-02-20 20:00,2023-02-20 22:00,Both
2023-02-21 07:00,2023-02-21 09:00,Both
2023-02-24 07:00,2023-02-24 09:00,Both
2023-02-27 07:00,2023-02-27 09:00,Both
2023-02-28 07:00,2023-02-28 09:00,Both
2023-04-25 09:00,2023-04-25 11:00,Both
2023-04-27 19:00,2023-04-27 21:00,Both
2023-05-01 09:00,2023-05-01 10:00,Both
2023-05-04 15:00,2023-05-04 17:00,Both
2023-05-10 09:00,2023-05-10 11:00,Both
2023-05-11 19:00,2023-05-11 21:00,Both
2023-05-15 13:00,2023-05-15 15:00,Both
2023-05-19 09:00,2023-05-19 11:00,Both
2023-05-23 17:00,2023-05-23 19:00,Both
2023-05-24 10:00,2023-05-24 11:00,Both
2023-05-24 18:00,2023-05-24 19:00,Both
2023-05-29 19:00,2023-05-29 21:00,Both
2023-05-31 09:00,2023-05-31 11:00,Both
2023-06-06 09:00,2023-06-06 11:00,Both
2023-06-09 13:00,2023-06-09 15:00,Both
2023-06-13 18:00,2023-06-13 19:00,Both
2023-06-16 13:00,2023-06-16 15:00,Both
2023-06-19 12:00,2023-06-19 14:00,Both
2023-06-21 16:00,2023-06-21 18:00,Both
2023-06-28 18:00,2023-06-28 19:00,Both
2023-06-30 19:00,2023-06-30 20:00,Both
2023-07-05 16:00,2023-07-05 18:00,Both
2023-07-06 09:00,2023-07-06 12:00,Both
2023-07-06 18:00,2023-07-06 19:00,Both
2023-07-11 19:00,2023-07-11 21:00,Both
2023-07-14 13:00,2023-07-14 15:00,Both
2023-07-17 16:00,2023-07-17 18:00,Both
2023-07-19 09:00,2023-07-19 10:00,Both
2023-07-19 17:00,2023-07-19 19:00,Both
2023-07-26 12:00,2023-07-26 14:00,Both
2023-07-27 20:00,2023-07-27 22:00,Both
2023-08-01 19:00,2023-08-01 21:00,Both
2023-08-04 09:00,2023-08-04 12:00,Both
2023-08-09 13:00,2023-08-09 15:00,Both
2023-08-10 09:00,2023-08-10 10:00,Both
2023-08-10 17:00,2023-08-10 19:00,Both
2023-08-14 10:00,2023-08-14 11:00,Both
2023-08-18 09:00,2023-08-18 11:00,Both
2023-08-22 20:00,2023-08-22 22:00,Both
2023-08-24 11:00,2023-08-24 14:00,Both
2023-08-28 14:00,2023-08-28 15:00,Both
2023-08-28 18:00,2023-08-28 19:00,Both
2023-08-31 09:00,2023-08-31 10:00,Both
2023-08-31 13:00,2023-08-31 15:00,Both
